STEVAL-MKI197V1 (LSM6DSOX)

A_X [LSB] 	 A_Y [LSB] 	 A_Z [LSB] 	A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	INT1 	 INT2 	
155 	 -61 	 4153 	37.82 	 -14.884 	 1013.33 	0 	 0 	
149 	 -59 	 4144 	36.356 	 -14.396 	 1011.14 	0 	 0 	
150 	 -54 	 4146 	36.6 	 -13.176 	 1011.62 	0 	 0 	
151 	 -61 	 4154 	36.844 	 -14.884 	 1013.58 	0 	 0 	
151 	 -58 	 4154 	36.844 	 -14.152 	 1013.58 	0 	 0 	
152 	 -66 	 4146 	37.088 	 -16.104 	 1011.62 	0 	 0 	
157 	 -61 	 4152 	38.308 	 -14.884 	 1013.09 	0 	 0 	
150 	 -62 	 4153 	36.6 	 -15.128 	 1013.33 	0 	 0 	
156 	 -56 	 4147 	38.064 	 -13.664 	 1011.87 	0 	 0 	
161 	 -61 	 4147 	39.284 	 -14.884 	 1011.87 	0 	 0 	
162 	 -58 	 4150 	39.528 	 -14.152 	 1012.6 	0 	 0 	
158 	 -54 	 4144 	38.552 	 -13.176 	 1011.14 	0 	 0 	
160 	 -59 	 4152 	39.04 	 -14.396 	 1013.09 	0 	 0 	
152 	 -56 	 4149 	37.088 	 -13.664 	 1012.36 	0 	 0 	
157 	 -54 	 4141 	38.308 	 -13.176 	 1010.4 	0 	 0 	
155 	 -59 	 4150 	37.82 	 -14.396 	 1012.6 	0 	 0 	
159 	 -53 	 4151 	38.796 	 -12.932 	 1012.84 	0 	 0 	
158 	 -60 	 4145 	38.552 	 -14.64 	 1011.38 	0 	 0 	
158 	 -66 	 4154 	38.552 	 -16.104 	 1013.58 	0 	 0 	
149 	 -56 	 4148 	36.356 	 -13.664 	 1012.11 	0 	 0 	
151 	 -57 	 4142 	36.844 	 -13.908 	 1010.65 	0 	 0 	
150 	 -65 	 4157 	36.6 	 -15.86 	 1014.31 	0 	 0 	
152 	 -62 	 4149 	37.088 	 -15.128 	 1012.36 	0 	 0 	
158 	 -55 	 4152 	38.552 	 -13.42 	 1013.09 	0 	 0 	
154 	 -60 	 4156 	37.576 	 -14.64 	 1014.06 	0 	 0 	
157 	 -52 	 4145 	38.308 	 -12.688 	 1011.38 	0 	 0 	
167 	 -58 	 4141 	40.748 	 -14.152 	 1010.4 	0 	 0 	
